Description,Latitude,Longitude
Pokestop,-37.802184,144.946218
Pokestop,-37.802184,144.986065
Pokestop,-37.802214,144.970572
Pokestop,-37.802245,144.959949
Pokestop,-37.802261,144.985168
Pokestop,-37.802319,144.988884
Pokestop,-37.802336,144.948394
Pokestop,-37.802384,144.979532
Pokestop,-37.802391,144.981081
Pokestop,-37.802411,144.983187
Pokestop,-37.802453,144.94879
Pokestop,-37.802489,144.956883
Pokestop,-37.80249,144.957385
Pokestop,-37.802515,144.949549
Pokestop,-37.802525,144.981332
Pokestop,-37.802527,144.98735
Pokestop,-37.802633,144.954358
Pokestop,-37.802694,144.955903
Pokestop,-37.802705,144.993113
Pokestop,-37.802828,144.992733
Pokestop,-37.802848,144.946395
Pokestop,-37.802853,144.945304
Pokestop,-37.802866,144.971961
Pokestop,-37.80288,144.958993
Pokestop,-37.802929,144.947014
Pokestop,-37.802954,144.960695
Pokestop,-37.80298,144.961845
Pokestop,-37.802993,144.979147
Pokestop,-37.802994,144.991714
Pokestop,-37.803032,144.959276
Pokestop,-37.80312,144.958834
Pokestop,-37.803149,144.946013
Pokestop,-37.803149,144.969868
Pokestop,-37.803179,144.970411
Pokestop,-37.80318,144.980238
Pokestop,-37.803208,144.949165
Pokestop,-37.803242,144.962526
Pokestop,-37.803256,144.946894
Pokestop,-37.80329,144.959202
Pokestop,-37.803291,144.94555
Pokestop,-37.803333,144.953611
Pokestop,-37.803336,144.978307
Pokestop,-37.803348,144.954251
Pokestop,-37.803367,144.955447
Pokestop,-37.803378,144.962724
Pokestop,-37.803489,144.983356
Pokestop,-37.803493,144.978691
Pokestop,-37.8035,144.976425
Pokestop,-37.803531,144.98844
Pokestop,-37.803547,144.971017
Pokestop,-37.803569,144.982112
Pokestop,-37.803576,144.955303
Pokestop,-37.803589,144.947791
Pokestop,-37.803608,144.94967
Pokestop,-37.803625,144.958619
Pokestop,-37.803652,144.984931
Pokestop,-37.803681,144.960545
Pokestop,-37.803695,144.963597
Pokestop,-37.803702,144.947241
Pokestop,-37.803719,144.971656
Pokestop,-37.803789,144.986666
Pokestop,-37.8038,144.953213
Pokestop,-37.80381,144.991989
Pokestop,-37.803921,144.95608
Pokestop,-37.803928,144.982823
Pokestop,-37.803929,144.948851
Pokestop,-37.803949,144.992555
Pokestop,-37.803976,144.986638
Pokestop,-37.803978,144.945895
Pokestop,-37.803993,144.97797
Pokestop,-37.803995,144.981074
Pokestop,-37.804005,144.977025
Pokestop,-37.804007,144.979535
Pokestop,-37.804017,144.950501
Pokestop,-37.804026,144.976515
Pokestop,-37.804039,144.957214
Pokestop,-37.80405,144.970446
Pokestop,-37.804057,144.965299
Pokestop,-37.804085,144.983281
Pokestop,-37.804097,144.948683
Pokestop,-37.804112,144.990421
Pokestop,-37.804171,144.969893
Pokestop,-37.804199,144.978742
Pokestop,-37.804204,144.980999
Pokestop,-37.804272,144.95558
Pokestop,-37.804313,144.993947
Pokestop,-37.804325,144.963483
Pokestop,-37.804331,144.958271
Pokestop,-37.804338,144.951662
Pokestop,-37.804364,144.99296
Pokestop,-37.80438,144.976378
Pokestop,-37.804386,144.979831
Pokestop,-37.804415,144.950463
Pokestop,-37.804425,144.99359
Pokestop,-37.804463,144.966509
Pokestop,-37.804465,144.984771
Pokestop,-37.804505,144.987926
Pokestop,-37.804516,144.948609
Pokestop,-37.804529,144.963963
Pokestop,-37.804541,144.978517
Pokestop,-37.804545,144.954032
Pokestop,-37.80456,144.961934
Pokestop,-37.804589,144.982653
Pokestop,-37.804609,144.970224
Pokestop,-37.804642,144.96158
Pokestop,-37.804652,144.977427
Pokestop,-37.804683,144.987612
Pokestop,-37.804725,144.988605
Pokestop,-37.804728,144.971308
Pokestop,-37.804751,144.963095
Pokestop,-37.804775,144.947006
Pokestop,-37.804781,144.971762
Pokestop,-37.804823,144.960353
Pokestop,-37.804826,144.949931
Pokestop,-37.804856,144.969637
Pokestop,-37.804858,144.953614
Pokestop,-37.804872,144.951284
Pokestop,-37.804877,144.950457
Pokestop,-37.804884,144.951771
Pokestop,-37.804895,144.990331
Pokestop,-37.804911,144.982658
Pokestop,-37.804934,144.992456
Pokestop,-37.804973,144.976134
Pokestop,-37.804997,144.98438
Pokestop,-37.805003,144.991425
Pokestop,-37.805071,144.947576
Pokestop,-37.805123,144.99267
Pokestop,-37.805143,144.967111
Pokestop,-37.805148,144.984086
Pokestop,-37.805155,144.992966
Pokestop,-37.805174,144.96746
Pokestop,-37.805209,144.983292
Pokestop,-37.805224,144.970271
Pokestop,-37.805238,144.948675
Pokestop,-37.805242,144.951385
Pokestop,-37.805259,144.95549
Pokestop,-37.805272,144.9884
Pokestop,-37.805306,144.968649
Pokestop,-37.805358,144.977195
Pokestop,-37.80536,144.963312
Pokestop,-37.805363,144.986123
Pokestop,-37.805371,144.957934
Pokestop,-37.805397,144.962968
Pokestop,-37.8054,144.986844
Pokestop,-37.805423,144.985882
Pokestop,-37.805427,144.949865
Pokestop,-37.805434,144.949106
Pokestop,-37.805454,144.976115
Pokestop,-37.805513,144.982492
Pokestop,-37.805543,144.980561
Pokestop,-37.805557,144.989175
Pokestop,-37.805591,144.961728
Pokestop,-37.805597,144.976694
Pokestop,-37.805607,144.983221
Pokestop,-37.805613,144.975028
Pokestop,-37.80564,144.956687
Pokestop,-37.805686,144.955777
Pokestop,-37.805691,144.952531
Pokestop,-37.805735,144.950214
Pokestop,-37.805745,144.959588
Pokestop,-37.80575,144.969643
Pokestop,-37.805756,144.985519
Pokestop,-37.805759,144.947808
Pokestop,-37.805765,144.964407
Pokestop,-37.805765,144.967745
Pokestop,-37.805774,144.958122
Pokestop,-37.805842,144.988116
Pokestop,-37.805854,144.982498
Pokestop,-37.805875,144.966233
Pokestop,-37.805885,144.977261
Pokestop,-37.805889,144.983963
Pokestop,-37.805896,144.953201
Pokestop,-37.805907,144.992227
Pokestop,-37.805908,144.980087
Pokestop,-37.805943,144.986084
Pokestop,-37.806009,144.953928
Pokestop,-37.806009,144.97827
Pokestop,-37.806016,144.951958
Pokestop,-37.806026,144.958499
Pokestop,-37.806045,144.978784
Pokestop,-37.806062,144.986711
Pokestop,-37.80611,144.962226
Pokestop,-37.806125,144.965612
Pokestop,-37.806127,144.954924
Pokestop,-37.806143,144.957257
Pokestop,-37.806158,144.981618
Pokestop,-37.806166,144.980087
Pokestop,-37.806209,144.965161
Pokestop,-37.80622,144.980743
Pokestop,-37.806262,144.987566
Pokestop,-37.806301,144.970695
Pokestop,-37.80631,144.961301
Pokestop,-37.806313,144.983182
Pokestop,-37.806321,144.96617
Pokestop,-37.806351,144.979242
Pokestop,-37.806371,144.978727
Pokestop,-37.806405,144.977177
Pokestop,-37.806408,144.991515
Pokestop,-37.806435,144.985103
Pokestop,-37.806474,144.955192
Pokestop,-37.806477,144.959288
Pokestop,-37.806484,144.962739
Pokestop,-37.806491,144.982755
Pokestop,-37.806495,144.969674
Pokestop,-37.806515,144.970674
Pokestop,-37.806572,144.965776
Pokestop,-37.806588,144.953314
Pokestop,-37.80659,144.956037
Pokestop,-37.806598,144.963619
Pokestop,-37.80661,144.991464
Pokestop,-37.806632,144.95991
Pokestop,-37.806646,144.982387
Pokestop,-37.806646,144.983688
Pokestop,-37.80668,144.964122
Pokestop,-37.806709,144.957096
Pokestop,-37.806742,144.986412
Pokestop,-37.806753,144.983453
Pokestop,-37.806754,144.95841
Pokestop,-37.806796,144.964944
Pokestop,-37.806805,144.952131
Pokestop,-37.806848,144.960505
Pokestop,-37.806876,144.987663
Pokestop,-37.806878,144.959363
Pokestop,-37.806882,144.967235
Pokestop,-37.806924,144.98501
Pokestop,-37.806926,144.98854
Pokestop,-37.806935,144.9904
Pokestop,-37.806954,144.98226
Pokestop,-37.807007,144.975946
Pokestop,-37.807021,144.969128
Pokestop,-37.807075,144.955963
Pokestop,-37.807094,144.951353
Pokestop,-37.807153,144.965597
Pokestop,-37.807168,144.966449
Pokestop,-37.80717,144.975044
Pokestop,-37.80717,144.989304
Pokestop,-37.807181,144.95822
Pokestop,-37.807226,144.959226
Pokestop,-37.807243,144.993557
Pokestop,-37.807288,144.97704
Pokestop,-37.807308,144.953162
Pokestop,-37.807321,144.972665
Pokestop,-37.807337,144.961617
Pokestop,-37.807358,144.958608
Pokestop,-37.807373,144.964706
Pokestop,-37.807397,144.971457
Pokestop,-37.807408,144.950761
Pokestop,-37.807457,144.951817
Pokestop,-37.807457,144.964074
Pokestop,-37.807462,144.966508
Pokestop,-37.807528,144.95827
Pokestop,-37.807539,144.969158
Pokestop,-37.807599,144.976789
Pokestop,-37.807666,144.956054
Pokestop,-37.807698,144.962498
Pokestop,-37.807731,144.963928
Pokestop,-37.807767,144.970935
Pokestop,-37.807785,144.946398
Pokestop,-37.807806,144.965421
Pokestop,-37.807822,144.955841
Pokestop,-37.807843,144.982216
Pokestop,-37.80786,144.984078
Pokestop,-37.807862,144.97855
Pokestop,-37.807868,144.961005
Pokestop,-37.807953,144.964019
Pokestop,-37.807982,144.963246
Pokestop,-37.808028,144.947911
Pokestop,-37.808029,144.987311
Pokestop,-37.80805,144.982788
Pokestop,-37.808081,144.987794
Pokestop,-37.808142,144.982573
Pokestop,-37.808147,144.957722
Pokestop,-37.808201,144.949406
Pokestop,-37.80823,144.959289
Pokestop,-37.808279,144.966248
Pokestop,-37.808291,144.950385
Pokestop,-37.808316,144.964207
Pokestop,-37.808342,144.974363
Pokestop,-37.808346,144.958034
Pokestop,-37.80836,144.985313
Pokestop,-37.808361,144.962266
Pokestop,-37.808387,144.956798
Pokestop,-37.808402,144.965267
Pokestop,-37.808449,144.948455
Pokestop,-37.808478,144.98101
Pokestop,-37.808504,144.971566
Pokestop,-37.808507,144.965956
Pokestop,-37.808521,144.945005
Pokestop,-37.808551,144.948977
Pokestop,-37.808551,144.951705
Pokestop,-37.808561,144.947053
Pokestop,-37.808567,144.959593
Pokestop,-37.808603,144.963508
Pokestop,-37.808616,144.962788
Pokestop,-37.808667,144.98558
Pokestop,-37.808687,144.960403
Pokestop,-37.808692,144.983387
Pokestop,-37.808725,144.97076
Pokestop,-37.808772,144.964842
Pokestop,-37.808783,144.9548
Pokestop,-37.808788,144.96601
Pokestop,-37.808803,144.972451
Pokestop,-37.808821,144.958588
Pokestop,-37.808843,144.984944
Pokestop,-37.808857,144.971061
Pokestop,-37.808878,144.992458
Pokestop,-37.808909,144.951978
Pokestop,-37.808922,144.973492
Pokestop,-37.809011,144.965341
Pokestop,-37.809043,144.948992
Pokestop,-37.809071,144.980811
Pokestop,-37.809086,144.958119
Pokestop,-37.809107,144.969438
Pokestop,-37.809111,144.964314
Pokestop,-37.809127,144.964835
Pokestop,-37.809139,144.987769
Pokestop,-37.809144,144.956758
Pokestop,-37.809193,144.988801
Pokestop,-37.809216,144.962204
Pokestop,-37.809221,144.963864
Pokestop,-37.809221,144.968739
Pokestop,-37.809229,144.946141
Pokestop,-37.809237,144.974178
Pokestop,-37.809255,144.963007
Pokestop,-37.809313,144.958061
Pokestop,-37.809318,144.974802
Pokestop,-37.809422,144.954447
Pokestop,-37.809424,144.96836
Pokestop,-37.809447,144.962406
Pokestop,-37.809452,144.990672
Pokestop,-37.809475,144.973541
Pokestop,-37.80948,144.991023
Pokestop,-37.809499,144.966318
Pokestop,-37.809516,144.961668
Pokestop,-37.809613,144.986004
Pokestop,-37.809648,144.970773
Pokestop,-37.809661,144.992751
Pokestop,-37.809675,144.992886
Pokestop,-37.809688,144.993871
Pokestop,-37.809709,144.951422
Pokestop,-37.809751,144.955054
Pokestop,-37.809764,144.967975
Pokestop,-37.809771,144.964442
Pokestop,-37.809772,144.973489
Pokestop,-37.809793,144.96378
Pokestop,-37.809861,144.971435
Pokestop,-37.809918,144.992241
Pokestop,-37.809942,144.964764
Pokestop,-37.81,144.973611
Pokestop,-37.810037,144.989271
Pokestop,-37.810044,144.972625
Pokestop,-37.810069,144.962752
Pokestop,-37.81017,144.990946
Pokestop,-37.810189,144.974951
Pokestop,-37.810197,144.952582
Pokestop,-37.810224,144.992936
Pokestop,-37.81023,144.964745
Pokestop,-37.810238,144.954955
Pokestop,-37.810254,144.968041
Pokestop,-37.810272,144.969879
Pokestop,-37.810273,144.961164
Pokestop,-37.810273,144.964532
Pokestop,-37.810277,144.963055
Pokestop,-37.810282,144.963536
Pokestop,-37.810288,144.962151
Pokestop,-37.8103,144.968294
Pokestop,-37.81034,144.955549
Pokestop,-37.810359,144.965655
Pokestop,-37.810416,144.992331
Pokestop,-37.810421,144.969332
Pokestop,-37.810477,144.966172
Pokestop,-37.810534,144.959913
Pokestop,-37.810547,144.971754
Pokestop,-37.810591,144.956558
Pokestop,-37.810607,144.961615
Pokestop,-37.810667,144.972551
Pokestop,-37.810694,144.953822
Pokestop,-37.810696,144.97127
Pokestop,-37.810699,144.991356
Pokestop,-37.810756,144.959486
Pokestop,-37.810773,144.950866
Pokestop,-37.81078,144.970281
Pokestop,-37.81088,144.951502
Pokestop,-37.81096,144.957221
Pokestop,-37.810989,144.990928
Pokestop,-37.811058,144.965942
Pokestop,-37.811062,144.993124
Pokestop,-37.811081,144.962204
Pokestop,-37.811118,144.969918
Pokestop,-37.811127,144.969308
Pokestop,-37.811137,144.959099
Pokestop,-37.811201,144.966421
Pokestop,-37.811205,144.963169
Pokestop,-37.811206,144.964484
Pokestop,-37.811233,144.959642
Pokestop,-37.811244,144.973437
Pokestop,-37.811282,144.946447
Pokestop,-37.811293,144.968427
Pokestop,-37.811293,144.969264
Pokestop,-37.811316,144.95392
Pokestop,-37.81132,144.95834
Pokestop,-37.811333,144.961997
Pokestop,-37.811372,144.966842
Pokestop,-37.81138,144.945914
Pokestop,-37.811384,144.988419
Pokestop,-37.81139,144.964858
Pokestop,-37.811443,144.957945
Pokestop,-37.811458,144.972338
Pokestop,-37.811469,144.953169
Pokestop,-37.811493,144.966212
Pokestop,-37.811497,144.965368
Pokestop,-37.811502,144.963635
Pokestop,-37.811523,144.964276
Pokestop,-37.811527,144.98772
Pokestop,-37.811532,144.986469
Pokestop,-37.81154,144.961148
Pokestop,-37.811546,144.95759
Pokestop,-37.811564,144.961461
Pokestop,-37.811613,144.973007
Pokestop,-37.811642,144.960478
Pokestop,-37.811667,144.956131
Pokestop,-37.811669,144.948813
Pokestop,-37.811679,144.965298
Pokestop,-37.81169,144.959332
Pokestop,-37.811705,144.955657
Pokestop,-37.811788,144.967853
Pokestop,-37.811851,144.950675
Pokestop,-37.811874,144.974268
Pokestop,-37.811909,144.967492
Pokestop,-37.811918,144.970667
Pokestop,-37.811922,144.954977
Pokestop,-37.811931,144.959916
Pokestop,-37.811951,144.968392
Pokestop,-37.811952,144.988212
Pokestop,-37.811961,144.956671
Pokestop,-37.812,144.953525
Pokestop,-37.812027,144.962556
Pokestop,-37.812031,144.96354
Pokestop,-37.81205,144.973191
Pokestop,-37.812056,144.958894
Pokestop,-37.812065,144.967095
Pokestop,-37.812071,144.966738
Pokestop,-37.812092,144.963309
Pokestop,-37.812115,144.972217
Pokestop,-37.812136,144.966436
Pokestop,-37.8122,144.964545
Pokestop,-37.812212,144.954085
Pokestop,-37.812251,144.962851
Pokestop,-37.812283,144.960544
Pokestop,-37.812314,144.973759
Pokestop,-37.812323,144.965808
Pokestop,-37.812377,144.971376
Pokestop,-37.812392,144.972399
Pokestop,-37.812476,144.965369
Pokestop,-37.812557,144.956569
Pokestop,-37.812584,144.973407
Pokestop,-37.812586,144.957175
Pokestop,-37.812591,144.966355
Pokestop,-37.812605,144.989344
Pokestop,-37.812657,144.969863
Pokestop,-37.812672,144.975413
Pokestop,-37.812715,144.971872
Pokestop,-37.812723,144.964021
Pokestop,-37.812735,144.958756
Pokestop,-37.812737,144.95176
Pokestop,-37.812746,144.965157
Pokestop,-37.812812,144.959486
Pokestop,-37.812815,144.953885
Pokestop,-37.812817,144.96235
Pokestop,-37.812818,144.973986
Pokestop,-37.812822,144.953265
Pokestop,-37.812841,144.983344
Pokestop,-37.812864,144.954553
Pokestop,-37.81288,144.962872
Pokestop,-37.812884,144.955388
Pokestop,-37.812892,144.963494
Pokestop,-37.812904,144.971103
Pokestop,-37.81293,144.972467
Pokestop,-37.812938,144.968155
Pokestop,-37.81294,144.955158
Pokestop,-37.812949,144.991013
Pokestop,-37.812995,144.976013
Pokestop,-37.813001,144.951499
Pokestop,-37.813036,144.952417
Pokestop,-37.813086,144.989147
Pokestop,-37.813112,144.952027
Pokestop,-37.813221,144.971239
Pokestop,-37.813264,144.974267
Pokestop,-37.813272,144.970488
Pokestop,-37.813298,144.959216
Pokestop,-37.813316,144.960418
Pokestop,-37.813333,144.965833
Pokestop,-37.813336,144.954153
Pokestop,-37.813346,144.973445
Pokestop,-37.813401,144.967509
Pokestop,-37.813452,144.968791
Pokestop,-37.813483,144.975031
Pokestop,-37.813506,144.957018
Pokestop,-37.813536,144.955469
Pokestop,-37.813537,144.957389
Pokestop,-37.813545,144.96203
Pokestop,-37.813548,144.969911
Pokestop,-37.813553,144.973658
Pokestop,-37.813587,144.967194
Pokestop,-37.813606,144.963179
Pokestop,-37.813611,144.976388
Pokestop,-37.813663,144.970415
Pokestop,-37.81368,144.963606
Pokestop,-37.813695,144.96849
Pokestop,-37.813717,144.945215
Pokestop,-37.813721,144.954701
Pokestop,-37.813733,144.974382
Pokestop,-37.813735,144.97221
Pokestop,-37.813738,144.961317
Pokestop,-37.813795,144.971939
Pokestop,-37.813802,144.965637
Pokestop,-37.813838,144.960335
Pokestop,-37.813884,144.945888
Pokestop,-37.813948,144.970836
Pokestop,-37.813975,144.964565
Pokestop,-37.814038,144.959657
Pokestop,-37.814079,144.970746
Pokestop,-37.814094,144.972447
Pokestop,-37.814104,144.963395
Pokestop,-37.814105,144.939862
Pokestop,-37.814146,144.964062
Pokestop,-37.814163,144.967115
Pokestop,-37.814192,144.957672
Pokestop,-37.814209,144.971256
Pokestop,-37.814217,144.947006
Pokestop,-37.81424,144.956376
Pokestop,-37.814247,144.957133
Pokestop,-37.814262,144.959158
Pokestop,-37.81427,144.987947
Pokestop,-37.814277,144.962641
Pokestop,-37.81429,144.993949
Pokestop,-37.814291,144.945389
Pokestop,-37.814293,144.944966
Pokestop,-37.814314,144.964768
Pokestop,-37.814369,144.985694
Pokestop,-37.814371,144.962332
Pokestop,-37.814386,144.969721
Pokestop,-37.814391,144.974711
Pokestop,-37.814399,144.969022
Pokestop,-37.814445,144.957809
Pokestop,-37.814478,144.955119
Pokestop,-37.814493,144.966294
Pokestop,-37.814605,144.967554
Pokestop,-37.81462,144.973475
Pokestop,-37.814627,144.960761
Pokestop,-37.814672,144.989199
Pokestop,-37.814716,144.964956
Pokestop,-37.81472,144.958674
Pokestop,-37.814724,144.957355
Pokestop,-37.814727,144.970489
Pokestop,-37.814734,144.955092
Pokestop,-37.814779,144.963282
Pokestop,-37.814858,144.968314
Pokestop,-37.814895,144.940267
Pokestop,-37.814912,144.972111
Pokestop,-37.814933,144.942182
Pokestop,-37.814959,144.96172
Pokestop,-37.814969,144.939638
Pokestop,-37.815003,144.969554
Pokestop,-37.815055,144.973591
Pokestop,-37.815061,144.971052
Pokestop,-37.815068,144.967432
Pokestop,-37.815082,144.993352
Pokestop,-37.815088,144.969352
Pokestop,-37.815099,144.941573
Pokestop,-37.815114,144.966514
Pokestop,-37.815118,144.971522
Pokestop,-37.815127,144.959688
Pokestop,-37.815192,144.963938
Pokestop,-37.815205,144.968117
Pokestop,-37.815262,144.977603
Pokestop,-37.81527,144.976577
Pokestop,-37.81529,144.947732
Pokestop,-37.815292,144.947113
Pokestop,-37.815295,144.986288
Pokestop,-37.815321,144.961714
Pokestop,-37.815323,144.939297
Pokestop,-37.815367,144.960654
Pokestop,-37.81541,144.968921
Pokestop,-37.815413,144.970163
Pokestop,-37.81542,144.96741
Pokestop,-37.815427,144.953057
Pokestop,-37.815428,144.94495
Pokestop,-37.815436,144.962426
Pokestop,-37.815438,144.964664
Pokestop,-37.815468,144.94582
Pokestop,-37.81547,144.954817
Pokestop,-37.815471,144.955738
Pokestop,-37.815476,144.945378
Pokestop,-37.815484,144.946711
Pokestop,-37.815499,144.969516
Pokestop,-37.815507,144.966138
Pokestop,-37.815593,144.96696
Pokestop,-37.815594,144.965833
Pokestop,-37.815596,144.963641
Pokestop,-37.815642,144.963996
Pokestop,-37.81567,144.955499
Pokestop,-37.815678,144.957526
Pokestop,-37.815765,144.959121
Pokestop,-37.815772,144.939505
Pokestop,-37.815786,144.96517
Pokestop,-37.815834,144.953981
Pokestop,-37.815857,144.953421
Pokestop,-37.815879,144.965641
Pokestop,-37.815883,144.962039
Pokestop,-37.815916,144.954915
Pokestop,-37.815932,144.969033
Pokestop,-37.815974,144.964286
Pokestop,-37.816043,144.961411
Pokestop,-37.816051,144.968316
Pokestop,-37.816065,144.966199
Pokestop,-37.816111,144.967222
Pokestop,-37.816141,144.963662
Pokestop,-37.816165,144.957045
Pokestop,-37.816224,144.963317
Pokestop,-37.816242,144.960284
Pokestop,-37.816332,144.95664
Pokestop,-37.816333,144.961563
Pokestop,-37.816336,144.96113
Pokestop,-37.816345,144.958838
Pokestop,-37.816348,144.985881
Pokestop,-37.816373,144.968757
Pokestop,-37.816391,144.96304
Pokestop,-37.816415,144.967085
Pokestop,-37.816462,144.965299
Pokestop,-37.816464,144.956361
